Name,Type
Володимирська,вулиця
Набережно-Хрещатицька,вулиця
Ревуцького,вулиця
Зої Гайдай,вулиця
Йорданська,вулиця
Оболонський,проспект
Героїв полку «Азов»,вулиця
Мала Житомирська,вулиця
Набережне,шосе
Контрактова,площа
Турівська,вулиця
Юрківська,вулиця
Оболонська,вулиця
Введенська,вулиця
Щекавицька,вулиця
Хорива,вулиця
Рильський,провулок
Малопідвальна,вулиця
Тараса Шевченка,провулок
Володимирський,проїзд
Верхній Вал,вулиця
Ярославський,провулок
Костельна,вулиця
Круглоуніверситетська,вулиця
Рогнідинська,вулиця
Ділова,вулиця
Новогоспітальна,вулиця
Михайла Омеляновича-Павленка,вулиця
Старонаводницька,вулиця
Предславинська,вулиця
Іоанна Павла II,вулиця
Професора Підвисоцького,вулиця
Курганівська,вулиця
Болсуновська,вулиця
Кріпосний,провулок
Ромський,провулок
Десятинна,вулиця
Вʼячеслава Липинського,вулиця
Вознесенський,узвіз
Золотоворітська,вулиця
Ірининська,вулиця
Киянівський,провулок
Десятинний,провулок
Алли Тарасової,вулиця
Ольгинська,вулиця
Архітектора Городецького,вулиця
Садова,вулиця
Липська,вулиця
Паньківська,вулиця
Микільсько-Ботанічна,вулиця
Короленківська,вулиця
Фізкультури,вулиця
Василя Тютюнника,вулиця
Госпітальна,вулиця
Пилипа Орлика,вулиця
Костя Гордієнка,провулок
Академіка Богомольця,вулиця
Леоніда Первомайського,вулиця
Степана Бандери,проспект
Олени Теліги,вулиця
Богатирська,вулиця
Саперно-Слобідська,вулиця
Леся Курбаса,проспект
Святослава Хороброго,вулиця
Повітряних Сил,проспект
Героїв Чорнобиля,проспект
Центральна,вулиця
Вадима Манька,вулиця
1-й Чоботарський,в'їзд
Владислава Зубенка,вулиця
Василя Стуса,вулиця
Ювілейний,проспект
Мереф'янське,шосе
Грайворонська,вулиця
Свято-Духівська,площа
Оверченка,вулиця
Тиражна,вулиця
Абрагама Коопа,вулиця
Василя Сергієнка,вулиця
Автозаводська,вулиця
