@id,name,highway,place,highway_valid
4319972,Володимирська вулиця,residential,,
4319974,Набережно-Хрещатицька вулиця,primary,,
4327781,вулиця Ревуцького,tertiary,,
4327811,вулиця Зої Гайдай,secondary,,
4327812,Йорданська вулиця,secondary,,
4327816,Оболонський проспект,residential,,
4327817,вулиця Героїв полку «Азов»,secondary,,
4335311,Мала Житомирська вулиця,residential,,
4335942,Південний міст,trunk,,
4336149,Набережне шосе,primary,,
4336290,Контрактова площа,tertiary,,
4336291,Турівська вулиця,residential,,
4336295,Юрківська вулиця,residential,,
4336296,Оболонська вулиця,residential,,
4336297,Введенська вулиця,residential,,
4336299,Щекавицька вулиця,residential,,
4336301,вулиця Хорива,residential,,
4352880,Рильський провулок,residential,,
4352885,Малопідвальна вулиця,residential,,
4352886,провулок Тараса Шевченка,residential,,
4352888,Володимирський проїзд,residential,,
4352893,вулиця Верхній Вал,secondary,,
4352895,Ярославський провулок,residential,,
4352898,Костельна вулиця,residential,,
4352903,Круглоуніверситетська вулиця,residential,,
4352910,Рогнідинська вулиця,tertiary,,
4352913,Ділова вулиця,tertiary,,
4352918,Новогоспітальна вулиця,residential,,
4352920,вулиця Михайла Омеляновича-Павленка,secondary,,
4352922,Старонаводницька вулиця,secondary,,
4352926,Предславинська вулиця,residential,,
4352930,вулиця Іоанна Павла II,tertiary,,
4352934,вулиця Професора Підвисоцького,tertiary,,
4352937,Курганівська вулиця,secondary,,
4354733,Болсуновська вулиця,tertiary,,
4356989,Кріпосний провулок,tertiary,,
4356990,Ромський провулок,residential,,
4356991,Десятинна вулиця,residential,,
4356996,вулиця Вʼячеслава Липинського,residential,,
4357000,Вознесенський узвіз,residential,,
4357001,Золотоворітська вулиця,residential,,
4357004,Ірининська вулиця,residential,,
4357006,Киянівський провулок,residential,,
4357009,Десятинний провулок,pedestrian,,
4357011,вулиця Алли Тарасової,residential,,
4357022,Ольгинська вулиця,residential,,
4357025,вулиця Архітектора Городецького,residential,,
4357031,Садова вулиця,residential,,
4357032,Липська вулиця,residential,,
4357038,Паньківська вулиця,residential,,
4357039,Микільсько-Ботанічна вулиця,residential,,
4357040,Короленківська вулиця,secondary,,
4357098,вулиця Фізкультури,residential,,
4357102,вулиця Василя Тютюнника,residential,,
4357127,Госпітальна вулиця,residential,,
4357159,вулиця Пилипа Орлика,residential,,
4357160,провулок Костя Гордієнка,residential,,
4357161,вулиця Академіка Богомольця,residential,,
4357163,Липська вулиця,residential,,
4357164,вулиця Леоніда Первомайського,residential,,
4375093,проспект Степана Бандери,primary,,
4375095,вулиця Олени Теліги,primary,,
4375097,Богатирська вулиця,primary,,
4375098,Саперно-Слобідська вулиця,primary,,
4375099,Саперно-Слобідська вулиця,primary,,
4375109,проспект Леся Курбаса,primary,,
4375113,вулиця Святослава Хороброго,residential,,
4375114,вулиця Святослава Хороброго,tertiary,,
4375115,проспект Повітряних Сил,primary,,
4423654,проспект Академіка Глушкова,trunk,,
4423655,проспект Академіка Глушкова,trunk,,
4440275,проспект Червоної Калини,secondary,,
4440279,проспект Червоної Калини,secondary,,
4440280,проспект Червоної Калини,secondary,,
4440284,проспект Червоної Калини,secondary,,
4440285,проспект Червоної Калини,secondary,,
4440298,проспект Червоної Калини,secondary,,
4440299,проспект Червоної Калини,secondary,,
4440302,вулиця Рональда Рейгана,secondary,,
4440303,вулиця Рональда Рейгана,secondary,,
4440304,вулиця Рональда Рейгана,secondary,,
4440343,бульвар Володимира Висоцького,residential,,
4440344,бульвар Леоніда Бикова,residential,,
4440346,вулиця Олександри Екстер,tertiary,,
4440347,вулиця Олександри Екстер,tertiary,,
4440348,Лісківська вулиця,tertiary,,
4440349,вулиця Олександри Екстер,tertiary,,
4440350,вулиця Костянтина Данькевича,residential,,
4440352,вулиця Вікентія Беретті,residential,,
4440353,вулиця Сержа Лифаря,tertiary,,
4440354,вулиця Сержа Лифаря,tertiary,,
4440355,вулиця Сержа Лифаря,tertiary,,
4440356,Градинська вулиця,tertiary,,
4440357,вулиця Миколи Лаврухіна,residential,,
4440368,Будищанська вулиця,residential,,
4440370,вулиця Оноре де Бальзака,tertiary,,
5155293,проспект Степана Бандери,primary,,
5155295,вулиця Шолом-Алейхема,tertiary,,
5155303,проспект Червоної Калини,secondary,,
5155309,Райдужна вулиця,tertiary,,
5155310,вулиця Миколи Кибальчича,tertiary,,
5155311,Райдужна вулиця,tertiary,,
5155329,вулиця Івана Микитенка,residential,,
5155331,вулиця Едуарда Вільде,residential,,
5155333,проспект Алішера Навої,tertiary,,
5155338,Дарницький бульвар,tertiary,,
5155339,Дарницький бульвар,tertiary,,
5155343,вулиця Юності,residential,,
5155349,вулиця Кіото,tertiary,,
5155353,вулиця Мілютенка,tertiary,,
5155354,вулиця Шолом-Алейхема,tertiary,,
5155355,вулиця Шолом-Алейхема,tertiary,,
5155357,вулиця Мілютенка,tertiary,,
5155358,вулиця Мілютенка,tertiary,,
5155360,вулиця Шолом-Алейхема,tertiary,,
5155361,вулиця Мілютенка,tertiary,,
5155362,Лісовий проспект,tertiary,,
5155391,Південний міст,primary,,
5155399,вулиця Михайла Бойчука,primary,,
5155761,Либідська площа,primary_link,,
5155771,Набережно-Хрещатицька вулиця,primary,,
5155772,вулиця Богдана Гаврилишина,tertiary,,
5155773,вулиця Богдана Гаврилишина,tertiary,,
5155899,Бессарабська площа,primary,,
5155906,Казарменна вулиця,residential,,
5155907,Павлівська вулиця,residential,,
5155909,Дмитрівська вулиця,secondary,,
5155919,Чеховський провулок,residential,,
5155922,Обсерваторна вулиця,residential,,
5155923,вулиця Пирогова,residential,,
5155926,Львівська площа,secondary,,
5155927,Володимирський проїзд,residential,,
5155928,Пейзажна алея,pedestrian,,
5155929,Львівська площа,secondary,,
5155930,Львівська площа,secondary,,
5155932,Кудрявський узвіз,residential,,
5155937,Європейська площа,secondary,,
5155940,Бессарабська площа,primary,,
5155945,вулиця Василя Тютюнника,residential,,
5155946,Короленківська вулиця,secondary,,
5155955,вулиця Зої Гайдай,secondary,,
5155956,вулиця Героїв Дніпра,secondary,,
5155957,вулиця Героїв Дніпра,secondary,,
5155963,вулиця Героїв полку «Азов»,secondary,,
5155965,вулиця Левка Лукʼяненка,secondary,,
5155966,вулиця Героїв полку «Азов»,secondary,,
5155967,Оболонський проспект,secondary,,
5155968,Оболонський проспект,secondary,,
5155969,Оболонський проспект,secondary,,
5155972,проспект Володимира Івасюка,secondary,,
5155979,проспект Володимира Івасюка,secondary,,
5155980,проспект Володимира Івасюка,secondary,,
5156112,Мінська площа,secondary,,
5156113,Мінська площа,secondary,,
5156120,площа Сантьяго-де-Чилі,secondary,,
5156122,вулиця Олександра Архипенка,secondary,,
5156123,Йорданська вулиця,secondary,,
5156126,Йорданська вулиця,secondary,,
5158510,Дегтярівська вулиця,secondary,,
5158526,Покровська вулиця,tertiary,,
5158529,Контрактова площа,pedestrian,,
5158531,Андріївська вулиця,residential,,
5158620,Борисоглібська вулиця,residential,,
5158626,вулиця Петра Сагайдачного,pedestrian,,
5158632,Ігорівська вулиця,residential,,
5158635,Іллінська вулиця,residential,,
5158644,Оленівська вулиця,residential,,
5158647,вулиця Миколи Кравченка,unclassified,,
5158679,проспект Володимира Івасюка,secondary,,
5158688,Макіївська вулиця,residential,,
5158700,Берестецька вулиця,residential,,
5158703,Дубровицька вулиця,residential,,
5158709,Автозаводський провулок,residential,,
5158713,вулиця Красицького,residential,,
5158715,вулиця Байди-Вишневецького,residential,,
5158724,Мукачівська вулиця,residential,,
5158727,Сокальська вулиця,residential,,
5169470,Коноплянська вулиця,residential,,
5169471,Шахтарська вулиця,residential,,
5169472,Вербова вулиця,secondary,,
5169475,вулиця Аманда Струве,residential,,
5169477,Куренівська вулиця,residential,,
5169478,проспект Степана Бандери,secondary,,
5169479,Копилівська вулиця,residential,,
5169481,Подільський узвіз,tertiary,,
5169482,Загорівська вулиця,service,,
5169483,Овруцька вулиця,tertiary,,
5169492,Печенізька вулиця,residential,,
5169499,Лукʼянівська вулиця,residential,,
5169501,вулиця Шолуденка,residential,,
5169502,вулиця Шолуденка,residential,,
5169503,вулиця Шолуденка,residential,,
5169509,Мокра вулиця,residential,,
5169514,Соломʼянська площа,secondary,,
5169516,вулиця Митрополита Василя Липківського,secondary,,
5169517,вулиця Генерала Шаповала,tertiary,,
5169519,вулиця Авіаконструктора Антонова,residential,,
5169520,вулиця Авіаконструктора Антонова,unclassified,,
5169521,проспект Валерія Лобановського,primary,,
5169523,Чоколівський бульвар,primary,,
5169524,Чоколівський бульвар,primary,,
5169525,Севастопольська площа,primary,,
5169531,вулиця Августина Волошина,residential,,
5169532,Відрадний проспект,secondary,,
5169534,вулиця Героїв Севастополя,residential,,
5169537,вулиця Андрія Мельника,residential,,
5169538,Смілянська вулиця,tertiary,,
5169539,Смілянська вулиця,tertiary,,
5169542,вулиця Федора Ернста,tertiary,,
5169543,вулиця Івана Пулюя,residential,,
5169546,вулиця Святослава Хороброго,residential,,
5169547,вулиця Кадетський Гай,residential,,
5169549,вулиця Академіка Білецького,residential,,
5169552,Авторемонтна вулиця,unclassified,,
5169553,вулиця Академіка Шалімова,tertiary,,
5169555,Козелецька вулиця,unclassified,,
5169569,вулиця Миколи Шпака,residential,,
5169571,вулиця Петра Нестерова,tertiary,,
5169577,Оранжерейна вулиця,residential,,
5169578,вулиця Олени Теліги,primary_link,,
5169579,вулиця Олени Теліги,primary_link,,
5169584,Корабельна вулиця,residential,,
5169587,Вокзальна площа,secondary,,
5169588,Січеславська вулиця,tertiary,,
5169589,вулиця Георгія Кірпи,tertiary,,
5169592,вулиця Івана Огієнка,tertiary,,
5169593,Політехнічний провулок,tertiary,,
5169596,вулиця Сімʼї Шовкоплясів,residential,,
5169597,Лебединська вулиця,unclassified,,
5169598,вулиця Гетьмана Данила Апостола,unclassified,,
5169605,вулиця Героїв Дніпра,secondary_link,,False
5169616,вулиця Героїв Дніпра,secondary,,
5169622,Озерна вулиця,tertiary,,
5169623,Озерна вулиця,tertiary_link,,False
5169629,Богатирська вулиця,primary_link,,
5169630,Озерна вулиця,tertiary_link,,False
5169643,вулиця Петра Калнишевського,residential,,
5169645,Литовський проспект,primary,,
5169653,вулиця Івана Виговського,secondary,,
5169654,вулиця Івана Виговського,secondary,,
5169655,проспект Європейського Союзу,secondary,,
5169657,проспект Георгія Гонгадзе,tertiary,,
5169658,проспект Георгія Гонгадзе,tertiary,,
5169659,проспект Європейського Союзу,secondary,,
5169665,проспект Європейського Союзу,secondary,,
5169666,проспект Європейського Союзу,secondary,,
5169672,Полкова вулиця,residential,,
5169673,Полковий провулок,residential,,
5169675,Салютна вулиця,tertiary,,
5169676,Естонська вулиця,tertiary,,
5169678,вулиця Стеценка,secondary,,
5169679,вулиця Стеценка,secondary,,
5169681,вулиця Стеценка,secondary,,
5169683,проспект Повітряних Сил,primary,,
5180041,Добринінська вулиця,residential,,
5180042,Добринінська вулиця,residential,,
5180044,Вербова вулиця,secondary,,
5180055,вулиця Академіка Навашина,living_street,,False
5180056,Лебединська вулиця,unclassified,,
5180057,Лебединська вулиця,unclassified,,
5180058,Братиславська вулиця,tertiary,,
5180059,Братиславська вулиця,tertiary,,
5180268,вулиця Анни Ахматової,secondary,,
5180270,Тростянецька вулиця,secondary,,
5180274,вулиця Ревуцького,tertiary,,
5180278,вулиця Ревуцького,tertiary,,
5180282,вулиця Архітектора Вербицького,tertiary,,
5180284,вулиця Братства тарасівців,tertiary,,
5180286,вулиця Братства Тарасівців,tertiary,,
5180305,вулиця Михайла Гришка,residential,,
5180307,проспект Миколи Бажана,residential,,
5180308,вулиця Олександра Мишуги,residential,,
5180312,вулиця Лариси Руденко,residential,,
5180313,вулиця Бориса Гмирі,residential,,
5180314,вулиця Михайла Гришка,residential,,
5180327,Срібнокільська вулиця,residential,,
5180328,вулиця Княжий Затон,residential,,
5180335,Вишняківська вулиця,residential,,
5180341,Клеманська вулиця,unclassified,,
5180343,Дніпровська набережна,construction,,False
5180344,Дніпровська набережна,secondary,,
