@id,name,highway,place,highway_valid,name_type
4319972,Володимирська вулиця,residential,,,вулиця
4319974,Набережно-Хрещатицька вулиця,primary,,,вулиця
4327781,вулиця Ревуцького,tertiary,,,вулиця
4327811,вулиця Зої Гайдай,secondary,,,вулиця
4327812,Йорданська вулиця,secondary,,,вулиця
4327816,Оболонський проспект,residential,,,проспект
4327817,вулиця Героїв полку «Азов»,secondary,,,вулиця
4335311,Мала Житомирська вулиця,residential,,,вулиця
4335942,Південний міст,trunk,,,міст
4336149,Набережне шосе,primary,,,шосе
4336290,Контрактова площа,tertiary,,,площа
4336291,Турівська вулиця,residential,,,вулиця
4336295,Юрківська вулиця,residential,,,вулиця
4336296,Оболонська вулиця,residential,,,вулиця
4336297,Введенська вулиця,residential,,,вулиця
4336299,Щекавицька вулиця,residential,,,вулиця
4336301,вулиця Хорива,residential,,,вулиця
4352880,Рильський провулок,residential,,,провулок
4352885,Малопідвальна вулиця,residential,,,вулиця
4352886,провулок Тараса Шевченка,residential,,,провулок
4352888,Володимирський проїзд,residential,,,проїзд
4352893,вулиця Верхній Вал,secondary,,,вулиця
4352895,Ярославський провулок,residential,,,провулок
4352898,Костельна вулиця,residential,,,вулиця
4352903,Круглоуніверситетська вулиця,residential,,,вулиця
4352910,Рогнідинська вулиця,tertiary,,,вулиця
4352913,Ділова вулиця,tertiary,,,вулиця
4352918,Новогоспітальна вулиця,residential,,,вулиця
4352920,вулиця Михайла Омеляновича-Павленка,secondary,,,вулиця
4352922,Старонаводницька вулиця,secondary,,,вулиця
4352926,Предславинська вулиця,residential,,,вулиця
4352930,вулиця Іоанна Павла II,tertiary,,,вулиця
4352934,вулиця Професора Підвисоцького,tertiary,,,вулиця
4352937,Курганівська вулиця,secondary,,,вулиця
4354733,Болсуновська вулиця,tertiary,,,вулиця
4356989,Кріпосний провулок,tertiary,,,провулок
4356990,Ромський провулок,residential,,,провулок
4356991,Десятинна вулиця,residential,,,вулиця
4356996,вулиця Вʼячеслава Липинського,residential,,,вулиця
4357000,Вознесенський узвіз,residential,,,узвіз
4357001,Золотоворітська вулиця,residential,,,вулиця
4357004,Ірининська вулиця,residential,,,вулиця
4357006,Киянівський провулок,residential,,,провулок
4357009,Десятинний провулок,pedestrian,,,провулок
4357011,вулиця Алли Тарасової,residential,,,вулиця
4357022,Ольгинська вулиця,residential,,,вулиця
4357025,вулиця Архітектора Городецького,residential,,,вулиця
4357031,Садова вулиця,residential,,,вулиця
4357032,Липська вулиця,residential,,,вулиця
4357038,Паньківська вулиця,residential,,,вулиця
4357039,Микільсько-Ботанічна вулиця,residential,,,вулиця
4357040,Короленківська вулиця,secondary,,,вулиця
4357098,вулиця Фізкультури,residential,,,вулиця
4357102,вулиця Василя Тютюнника,residential,,,вулиця
4357127,Госпітальна вулиця,residential,,,вулиця
4357159,вулиця Пилипа Орлика,residential,,,вулиця
4357160,провулок Костя Гордієнка,residential,,,провулок
4357161,вулиця Академіка Богомольця,residential,,,вулиця
4357164,вулиця Леоніда Первомайського,residential,,,вулиця
4375093,проспект Степана Бандери,primary,,,проспект
4375095,вулиця Олени Теліги,primary,,,вулиця
4375097,Богатирська вулиця,primary,,,вулиця
4375098,Саперно-Слобідська вулиця,primary,,,вулиця
4375109,проспект Леся Курбаса,primary,,,проспект
4375113,вулиця Святослава Хороброго,residential,,,вулиця
4375115,проспект Повітряних Сил,primary,,,проспект
4423654,проспект Академіка Глушкова,trunk,,,проспект
4440275,проспект Червоної Калини,secondary,,,проспект
4440302,вулиця Рональда Рейгана,secondary,,,вулиця
4440343,бульвар Володимира Висоцького,residential,,,бульвар
4440344,бульвар Леоніда Бикова,residential,,,бульвар
4440346,вулиця Олександри Екстер,tertiary,,,вулиця
4440348,Лісківська вулиця,tertiary,,,вулиця
4440350,вулиця Костянтина Данькевича,residential,,,вулиця
4440352,вулиця Вікентія Беретті,residential,,,вулиця
4440353,вулиця Сержа Лифаря,tertiary,,,вулиця
4440356,Градинська вулиця,tertiary,,,вулиця
4440357,вулиця Миколи Лаврухіна,residential,,,вулиця
4440368,Будищанська вулиця,residential,,,вулиця
4440370,вулиця Оноре де Бальзака,tertiary,,,вулиця
5155295,вулиця Шолом-Алейхема,tertiary,,,вулиця
5155309,Райдужна вулиця,tertiary,,,вулиця
5155310,вулиця Миколи Кибальчича,tertiary,,,вулиця
5155329,вулиця Івана Микитенка,residential,,,вулиця
5155331,вулиця Едуарда Вільде,residential,,,вулиця
5155333,проспект Алішера Навої,tertiary,,,проспект
5155338,Дарницький бульвар,tertiary,,,бульвар
5155343,вулиця Юності,residential,,,вулиця
5155349,вулиця Кіото,tertiary,,,вулиця
5155353,вулиця Мілютенка,tertiary,,,вулиця
5155362,Лісовий проспект,tertiary,,,проспект
5155399,вулиця Михайла Бойчука,primary,,,вулиця
5155761,Либідська площа,primary_link,,,площа
5155772,вулиця Богдана Гаврилишина,tertiary,,,вулиця
5155899,Бессарабська площа,primary,,,площа
5155906,Казарменна вулиця,residential,,,вулиця
5155907,Павлівська вулиця,residential,,,вулиця
5155909,Дмитрівська вулиця,secondary,,,вулиця
5155919,Чеховський провулок,residential,,,провулок
5155922,Обсерваторна вулиця,residential,,,вулиця
5155923,вулиця Пирогова,residential,,,вулиця
5155926,Львівська площа,secondary,,,площа
5155928,Пейзажна алея,pedestrian,,,алея
5155932,Кудрявський узвіз,residential,,,узвіз
5155937,Європейська площа,secondary,,,площа
5155956,вулиця Героїв Дніпра,secondary,,,вулиця
5155965,вулиця Левка Лукʼяненка,secondary,,,вулиця
5155972,проспект Володимира Івасюка,secondary,,,проспект
5156112,Мінська площа,secondary,,,площа
5156120,площа Сантьяго-де-Чилі,secondary,,,площа
5156122,вулиця Олександра Архипенка,secondary,,,вулиця
5158510,Дегтярівська вулиця,secondary,,,вулиця
5158526,Покровська вулиця,tertiary,,,вулиця
5158531,Андріївська вулиця,residential,,,вулиця
5158620,Борисоглібська вулиця,residential,,,вулиця
5158626,вулиця Петра Сагайдачного,pedestrian,,,вулиця
5158632,Ігорівська вулиця,residential,,,вулиця
5158635,Іллінська вулиця,residential,,,вулиця
5158644,Оленівська вулиця,residential,,,вулиця
5158647,вулиця Миколи Кравченка,unclassified,,,вулиця
5158688,Макіївська вулиця,residential,,,вулиця
5158700,Берестецька вулиця,residential,,,вулиця
5158703,Дубровицька вулиця,residential,,,вулиця
5158709,Автозаводський провулок,residential,,,провулок
5158713,вулиця Красицького,residential,,,вулиця
